종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,BPS,주당배당금,배당수익률,PER,PBR,PCR,PSR
221840,하이즈항공,코스닥,운송장비·부품,4915,-205,86976660805,2020-12-28,-,4915,221,4321,61,1.24,24.0572216243243,1.14558198211068,13.089958825,1.20775739497965
065510,휴비츠,코스닥,의료·정밀기기,7310,-190,86863787010,2020-12-28,-,7310,688,7403,150,2.05,11.3413730810127,0.949119145550848,6.63680350666667,1.0181459925
019010,베뉴지,코스닥,유통,1800,20,8.676e+10,2020-12-28,-,1800,89,5349,30,1.67,24.8363888888889,0.30578317373461,11.6118181818182,1.5154406779661
238200,비피도,코스닥,음식료·담배,21200,200,8.6708e+10,2020-12-28,-,21200,387,11319,0,0,55.981875,1.9345788336933,34.4503846153846,6.89007692307692
078860,아이오케이,코스닥,오락·문화,1560,-40,86642109840,2020-12-28,-,1560,,2035,0,0,,0.786981118953069,19.3772239955556,1.79050324394251
089150,케이씨티,코스닥,IT S/W & SVC,5050,-50,86607500000,2020-12-28,-,5050,50,2151,60,1.19,101,2.43074525745257,179.389,4.46241293532338
318010,팜스빌,코스닥,음식료·담배,10900,-50,86429784200,2020-12-28,-,10900,1093,6987,200,1.83,11.8396964657534,1.55729340900901,15.1631200350877,2.88099280666667
014200,광림,코스닥,운송장비·부품,1630,-45,86263241420,2020-12-28,-,1630,,1480,0,0,,0.964606798127753,,0.600317321932831
215790,이노인스트루먼트,코스닥,IT H/W,2140,-60,86205938860,2020-12-28,-,2140,,1476,0,0,,2.41047414501348,,2.05582967310345
198080,엔피디,코스닥,IT H/W,4000,-75,86140740000,2020-12-28,-,4000,1167,3492,0,0,5.64462613043478,1.88544565767635,4.70872956994819,0.294390931972789
086670,비엠티,코스닥,기계·장비,10550,-150,85945880950,2020-12-28,-,10550,661,8633,150,1.42,16.5193504722222,1.26710926917614,8.49566595714286,1.19898511491936
088130,동아엘텍,코스닥,기계·장비,8060,10,85943280280,2020-12-28,-,8060,1111,15454,150,1.86,7.36465633050847,0.415803563157895,1.90995482857143,0.428304310990636
126600,코프라,코스닥,화학,4055,-40,85623895870,2020-12-28,-,4055,424,5167,70,1.73,9.59588256222222,0.791594345187901,4.82474542234637,0.472186676107162
258790,소프트캠프,코스닥,출판·매체복제,3420,-350,85470191280,2020-12-28,-,3420,26,401,0,0,175.18890084,9.12442191875,14.3597459704918,4.44641880304569
208140,정다운,코스닥,음식료·담배,2625,0,85390788000,2020-12-28,-,2625,37,2108,0,0,97.0473082666667,1.72273328284024,51.3779867294118,0.694297117965024
126870,뉴로스,코스닥,기계·장비,2860,-60,85334883920,2020-12-28,-,2860,,2748,0,0,,1.40340844262821,51.5133451882353,1.47677380809444
009780,엠에스씨,코스닥,음식료·담배,4845,-125,8.5272e+10,2020-12-28,-,4845,668,5130,60,1.24,7.24881355932203,0.947242524916944,5.62736842105263,0.573297587131367
088910,동우팜투테이블,코스닥,음식료·담배,3300,-20,85244821200,2020-12-28,-,3300,102,7357,0,0,33.1342049769231,0.453415436526316,12.30699042,0.318362649445676
053160,프리엠스,코스닥,일반전기전자,14200,-100,8.52e+10,2020-12-28,-,14200,102,7582,50,0.35,172.2,1.89230769230769,143.5,4.67934782608696
017650,대림제지,코스닥,종이·목재,9440,-90,8.496e+10,2020-12-28,-,9440,280,17050,0,0,33.71,0.558539765319426,5.16144578313253,0.809065155807365
047560,이스트소프트,코스닥,IT S/W & SVC,8580,-30,84936852000,2020-12-28,-,8580,,3826,0,0,,1.60388444036697,26.4883945454546,1.26867492017417
143540,영우디에스피,코스닥,IT H/W,2080,0,84555600480,2020-12-28,-,2080,,591,0,0,,5.4557849716763,,0.940090438346614
045060,오공,코스닥,화학,4990,-50,84540450260,2020-12-28,-,4990,444,4699,50,1,11.6334888133333,1.08252067121588,7.39416661864407,0.574398723502304
092600,앤씨앤,코스닥,IT H/W,4030,-95,84418425000,2020-12-28,-,4030,,2028,0,0,,2.10237651699029,,1.10341289808917
303030,지니틱스,코스닥,IT H/W,2370,5,84349648530,2020-12-28,-,2370,15,844,0,0,158,3.03639819440559,15.2352611157895,1.58180306666667
006580,대양제지,코스닥,종이·목재,3125,-115,83906250000,2020-12-28,-,3125,1070,5010,40,1.28,3.57047872340426,0.570015285326087,2.60578416149068,0.323462798766384
226440,한송네오텍,코스닥,기계·장비,1740,-65,83833072980,2020-12-28,-,1740,9,480,0,0,193.33,5.002233796875,,4.46711111162791
012340,뉴인텍,코스닥,IT H/W,2790,-5,83824160580,2020-12-28,-,2790,,899,0,0,,3.18805549,71.731248525,1.58230695275735
123840,한일진공,코스닥,기계·장비,1070,-50,83787395390,2020-12-28,-,1070,,1803,0,0,,0.914901465969388,30.9173598844828,3.42215052156489
050090,휘닉스소재,코스닥,IT H/W,1055,-70,83491583810,2020-12-28,-,1055,,395,0,0,,3.34818600769231,,7.03119061615385
115440,우리넷,코스닥,IT H/W,9110,-260,83237559840,2020-12-28,-,9110,283,7874,50,0.55,43.5687961263158,1.15133119109875,,1.12321184043419
142210,유니트론텍,코스닥,유통,6890,90,83214960270,2020-12-28,-,6890,301,4023,100,1.45,29.486107737931,1.86702428908297,17.814523425,0.30151520606488
246690,TS인베스트먼트,코스닥,금융,3420,30,83189906280,2020-12-28,-,3420,201,1434,25,0.73,18.919082,2.51881269230769,53.209918125,
032940,원익,코스닥,유통,4550,0,82779196500,2020-12-28,-,4550,2577,6293,0,0,1.81539357667387,0.728991522983521,12.3606945,0.929786754424779
023460,CNH,코스닥,금융,2225,-115,8.277e+10,2020-12-28,-,2225,424,2811,30,1.35,5.25,0.696229508196721,,
053450,세코닉스,코스닥,의료·정밀기기,6490,20,82696741710,2020-12-28,-,6490,,9257,50,0.77,,0.819556435224154,3.89467471173913,0.193806833340545
043290,케이맥,코스닥,기계·장비,2225,-5,82683872475,2020-12-28,-,2225,,1236,0,0,,2.00974328877551,,1.40682030214286
173940,에프엔씨엔터,코스닥,오락·문화,5750,-10,82598060000,2020-12-28,-,5750,,4622,0,0,,1.27115231091181,94.4889884444444,1.0099773111639
016670,포비스티앤씨,코스닥,유통,954,-39,82577661876,2020-12-28,-,954,,1135,0,0,,1.45123179800699,9.6523789355814,4.0691401395098
033100,제룡전기,코스닥,IT H/W,5130,-260,82400158170,2020-12-28,-,5130,348,3490,50,0.97,14.74,1.47167169803922,11.3096962,1.82656597920354
322780,코퍼스코리아,코스닥,오락·문화,2400,-340,82333617600,2020-12-28,-,2400,,,,,30.3850255428571,2.78944496786885,7.66469112792793,3.92064845714286
215100,로보로보,코스닥,IT S/W & SVC,4620,-90,82228857480,2020-12-28,-,4620,63,1383,13,0.28,75.7243315636364,3.38604734634146,118.995378171429,6.03599744347826
024120,KB오토시스,코스닥,운송장비·부품,7140,-230,8.211e+10,2020-12-28,-,7140,930,8912,230,3.22,7.80280373831776,0.814536585365854,6.05,0.5648849797023
007370,진양제약,코스닥,제약,6830,-480,8.196e+10,2020-12-28,-,6830,147,3639,100,1.46,46.46,1.91395881006865,14.6736842105263,1.76455696202532
047080,한빛소프트,코스닥,IT S/W & SVC,3305,-75,81897357980,2020-12-28,-,3305,97,602,0,0,34.8982690333333,5.1383954404908,,1.92542173977012
025550,한국선재,코스닥,금속,3305,-145,81046049470,2020-12-28,-,3305,111,3631,0,0,31.7846138384615,0.906140306798246,35.9304330347826,0.445498630619946
032860,글로스퍼랩스,코스닥,기타서비스,9720,-220,81015266880,2020-12-28,-,9720,,2840,0,0,,4.47275676602871,,1.32221522503536
032980,바이온,코스닥,유통,1290,-45,80993360790,2020-12-28,-,1290,,630,0,0,,2.42457171008646,,4.29248154795918
036690,코맥스,코스닥,IT H/W,5400,-40,80955541800,2020-12-28,-,5400,260,4625,50,0.93,21.6591581131579,1.18254024181034,25.720250259375,0.575155840880503
109860,동일금속,코스닥,금속,11550,100,8.085e+10,2020-12-28,-,11550,2420,17743,280,2.42,5.2275641025641,0.6524,5.43666666666667,0.941685912240185
219550,MP한강,코스닥,유통,1250,-20,80746248750,2020-12-28,-,1250,,536,0,0,,2.80129380776699,,1.79958375592516
043340,에쎈테크,코스닥,기계·장비,1120,-25,8.064e+10,2020-12-28,-,1120,,385,0,0,,2.95018050541516,26.3612903225806,1.58065764023211
049430,코메론,코스닥,의료·정밀기기,8900,-90,80527200000,2020-12-28,-,8900,1660,15526,200,2.25,5.57432727272727,0.567351459074733,5.1098,1.19689009009009
273060,와이즈버즈,코스닥,기타서비스,1690,-10,80364522680,2020-12-28,-,1690,,,0,0,,4.0708226030303,22.3895243166667,7.67640833714286
286750,나노브릭,코스닥,화학,17550,-300,80029807650,2020-12-28,-,17550,,3103,0,0,,5.88609039716312,,10.6402403333333
036640,HRS,코스닥,화학,4875,20,79729650000,2020-12-28,-,4875,60,4475,0,0,89.9514,1.22884426229508,4.52017085427136,1.34859670164918
024910,경창산업,코스닥,운송장비·부품,2225,135,79697286125,2020-12-28,-,2225,,2134,0,0,,0.901289898538961,2.22077831,0.156746069311124
023770,플레이위드,코스닥,IT S/W & SVC,9140,130,79550255060,2020-12-28,-,9140,1148,2126,0,0,7.96,4.3517645,4.18973071542553,1.40655245446429
093520,매커스,코스닥,유통,4920,0,79522412640,2020-12-28,-,4920,368,3268,100,2.03,16.7018617333333,1.52994153282443,40.08446816,1.39424237078261
250060,모비스,코스닥,IT S/W & SVC,2465,-40,79302289010,2020-12-28,-,2465,,804,0,0,,2.40806115208333,,6.68684749669422
171010,램테크놀러지,코스닥,IT H/W,6830,190,79275591440,2020-12-28,-,6830,276,2683,0,0,24.8098941,2.23010284044944,18.4631770046512,1.82930094746544
290120,대유에이피,코스닥,운송장비·부품,7280,70,79237696720,2020-12-28,-,7280,733,4288,200,2.75,9.9319228375,1.65532047291667,,0.50447862031746
250930,예선테크,코스닥,화학,2395,-15,79036053800,2020-12-28,-,2395,,1089,0,0,,2.23669648888889,16.10421472,1.36708104584041
049630,재영솔루텍,코스닥,IT H/W,1075,5,78847713250,2020-12-28,-,1075,82,744,0,0,12.9908956131148,1.42270131490126,6.28924311428571,0.594036456071964
